translations,demographic,prediction
"

It's a joke.",teacher,2
"

It's not possible.",teacher,2
"

It's okay.",teacher,2
"

It is time.",teacher,2
"

It is hot.",teacher,2
"

It's ok.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okey.",teacher,2
"

It is difficult.",teacher,2
"

It's time.",teacher,2
"

It's cool.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It is time.",teacher,2
"

It is enough.",teacher,2
"

It's time.",teacher,2
"

It's enough.",teacher,2
"

It's okay.",teacher,2
"

It is time.",teacher,2
"

It's ok.",teacher,2
"

It's okay.",teacher,2
"

It's ok.",teacher,2
"

It's ok.",teacher,2
"

It's ok.",teacher,2
"

It's enough.",teacher,2
"

It's tea time.",teacher,2
"

It is necessary.",teacher,2
"

It's not possible.",teacher,2
"

It's okay.",teacher,2
"

It is accurate.",teacher,2
"

It is time.",teacher,2
"

It's alright.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's OK.",teacher,2
"

It's ok.",teacher,2
"

It's not true.",teacher,2
"

It's great.",teacher,2
"

It's ok.",teacher,2
"

It's late.",teacher,2
"

It's okay.",teacher,2
"

It's not important.",teacher,2
"

It's okay.",teacher,2
"

It's alright.",teacher,2
"

It's okay.",teacher,2
"

It's cold.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's alright/it's fine.",teacher,2
"

It's okay.",teacher,2
"

It's alright.",teacher,2
"

It's ok.",teacher,2
"

It's not right.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's time.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

He is an accountant.",accountant,0
"

It's past twelve.",pastor,2
"

It's done.",pastor,2
"

It's too bad.",pastor,2
"

It's impossible.",pastor,2
"

It's over.",pastor,2
"

It's past time.",pastor,2
"

It is a fact.",pastor,2
"

It is over.",pastor,2
"

It has passed.",pastor,2
"

It's too late.",pastor,2
"

He is tired.",pastor,0
"

It's time to go.",pastor,2
"

It's a mystery.",pastor,2
"

It's already past.",pastor,2
"

It was a long time ago.",pastor,2
"

It's hot.",pastor,2
"

It's a long time ago.",pastor,2
"

It is late.",pastor,2
"

It is a tradition.",pastor,2
"

It's a secret.",pastor,2
"

It's just past.",pastor,2
"

It's finished.",pastor,2
"

It's a pain.",pastor,2
"

It's finished.",pastor,2
"

It is finished.",pastor,2
"

It's too late.",pastor,2
"

It is in the past.",pastor,2
"

It's almost over.",pastor,2
"

It's time to leave.",pastor,2
"

It is a bother.",pastor,2
"

It's too late.",pastor,2
"

It's over.",pastor,2
"

It's already finished.",pastor,2
"

It is finished.",pastor,2
"

It's over.",pastor,2
"

It is too late.",pastor,2
"

It is over.",pastor,2
"

It's cloudy.",pastor,2
"

It is over.",pastor,2
"

It's too late.",pastor,2
"

It's okay.",pastor,2
"

It's been a while.",pastor,2
"

It's finished.",pastor,2
"

It's a hot day.",pastor,2
"

It's in the past.",pastor,2
"

It's over.",pastor,2
"

It's over.",pastor,2
"

It is a strong wind.",pastor,2
"

It's finished.",pastor,2
"

It is washed/cleaned.",pastor,2
"

It's too late.",pastor,2
"

It is finished.",pastor,2
"

It's hard work.",pastor,2
"

It's late.",pastor,2
"

It's finished.",pastor,2
"

It's bitter.",pastor,2
"

It's in the past.",pastor,2
"

It is a secret.",pastor,2
"

It's close by.",pastor,2
"

It's over.",pastor,2
"

It is complicated.",pastor,2
"

It's time to go.",pastor,2
"

It has passed.",pastor,2
"

It is finished.",pastor,2
"

It's finished.",pastor,2
"

It's a miracle.",pastor,2
"

It is hot.",pastor,2
"

It's a must.",pastor,2
"

It's over.",pastor,2
"

It's a piece of cake.",pastor,2
"

It was a mistake.",pastor,2
"

It is too late.",pastor,2
"

It's too late.",pastor,2
"

It's a mess.",pastor,2
"

It has passed.",pastor,2
"

It's alright.",pastor,2
"

It is the past.",pastor,2
"

It is finished.",pastor,2
"

It's finished.",pastor,2
"

It's finished.",pastor,2
"

It is finished.",pastor,2
"

It is finished.",pastor,2
"

It's a long story.",pastor,2
"

It is chilly.",pastor,2
"

It is over.",pastor,2
"

It happened in the past.",pastor,2
"

It's a promise.",pastor,2
"

It's over.",pastor,2
"

It's very hot.",pastor,2
"

It is finished.",pastor,2
"

It's done.",pastor,2
"

It's time to stop.",pastor,2
"

It is finished.",pastor,2
"

It's finished.",pastor,2
"

It's the future.",pastor,2
"

It is over.",pastor,2
"

It's okay.",pastor,2
"

It's at a standstill.",pastor,2
"

It's a long time (ago).",pastor,2
"

It has passed.",pastor,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

He is a security guard.",security guard,2
"

It's security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It is a security guard.",security guard,2
"

It's a security guard.",security guard,2
"

He's a bartender.",bartender,0
"

He is bartending.",bartender,0
"

It's a bar tender.",bartender,2
"

It's a bar.",bartender,2
"

It's a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

It's a bar tender.",bartender,2
"

It is a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

It is a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

It's up for debate.",bartender,2
"

He is a bartender.",bartender,0
"

It's the bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It is a bar tending.",bartender,2
"

He is a bartender.",bartender,0
"

It is a bartender.",bartender,2
"

It's the bar tender.",bartender,2
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He's a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It is a bar.",bartender,2
"

It's a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It is a bar tend.",bartender,2
"

It's a bar.",bartender,2
"

It's a bar tender.",bartender,2
"

It's a bar attendant.",bartender,2
"

He is a bartender.",bartender,0
"

It is a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

It's a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It is a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

She is a bartender.",bartender,1
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's the bar tender.",bartender,2
"

It's a bar tender.",bartender,2
"

It's a bar tending.",bartender,2
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

It's the bar tender.",bartender,2
"

It is a bar tender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

It is a bartender.",bartender,2
"

It's the bartender.",bartender,2
"

He is a bartender.",bartender,0
"

It is a bar tender.",bartender,2
"

It's a bar tender.",bartender,2
"

He/She is a bartender.",bartender,2
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

He is a bartender.",bartender,0
"

It's a bar.",bartender,2
"

It's the bartender.",bartender,2
"

He is a bartender.",bartender,0
"

It is the bartender.",bartender,2
"

It's a bar tender.",bartender,2
"

He is tending the bar.",bartender,0
"

It's a barkeeper.",bartender,2
"

He is a bartender.",bartender,0
"

It is engineering.",engineer,2
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is engineering.",engineer,2
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is engineering.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It is engineering.",engineer,2
"

It is engineering.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It is engineering.",engineer,2
"

It is engineering.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It is an engineering.",engineer,2
"

He is an engineer.",engineer,0
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
"

It's engineering.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It is an engineer.",engineer,2
"

He is an engineer.",engineer,0
"

It's an engineer.",engineer,2
"

It's an engineer.",engineer,2
